,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
43,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Mild'})",0.388485,0.076224,0.050279,0.1294232724558219,1.6979333603041296,1.0,0.0206671193599999,1.0611080801641604,0.6721809526459112,0.1213208503245421,0.0575889311432879,0.3945224569667858
44,"frozenset({'Irrigation_Used', 'Fertilizer_Used'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Warm', 'Rainfall_Category_Very High'})",0.250093,0.163309,0.069097,0.2762852218974541,1.691794217694396,1.0,0.028254562263,1.156106003795664,0.5452830323210682,0.2006854387824748,0.1350274138211766,0.3496955565916494
45,"frozenset({'Fertilizer_Used', 'Temperature_Category_Warm', 'Irrigation_Used'})",frozenset({'Yield_Category_Very High'}),0.099832,0.424435,0.071065,0.7118459011138714,1.6771611698231093,1.0,0.02869280508,1.997420832203567,0.4485322527782338,0.1568064571647962,0.4993543754638856,0.439640127509826
46,"frozenset({'Irrigation_Used', 'Fertilizer_Used'})","frozenset({'Weather_Condition_Rainy', 'Yield_Category_Very High', 'Rainfall_Category_Very High'})",0.250093,0.139572,0.058425,0.2336130959283146,1.6737819614845,1.0,0.0235190198039999,1.1227070757977335,0.536800719421001,0.1763826832508151,0.1092957178617091,0.3261071240109289
47,"frozenset({'Fertilizer_Used', 'Temperature_Category_Hot', 'Rainfall_Category_Very High'})","frozenset({'Irrigation_Used', 'Yield_Category_Very High'})",0.15571,0.277442,0.072243,0.4639586410635155,1.6722725508881695,1.0,0.02904250618,1.3479519592174152,0.4761531619138803,0.2001695718311264,0.2581337983435454,0.3621740999811562
48,"frozenset({'Irrigation_Used', 'Weather_Condition_Rainy', 'Fertilizer_Used'})","frozenset({'Yield_Category_Very High', 'Rainfall_Category_Very High'})",0.083515,0.418429,0.058425,0.6995749266598814,1.6719083205511125,1.0,0.0234799020649999,1.935827105021921,0.4385026262492646,0.1317305459292612,0.4834249415116665,0.4196021750253538
49,"frozenset({'Fertilizer_Used', 'Irrigation_Used'})","frozenset({'Yield_Category_Very High', 'Rainfall_Category_Very High'})",0.250093,0.418429,0.174564,0.6979963453595263,1.668135682181508,1.0,0.069917836103,1.925708484198123,0.5341040687264021,0.3533984670761481,0.48071060173139,0.557592701261673
50,"frozenset({'Irrigation_Used', 'Weather_Condition_Sunny', 'Fertilizer_Used'})","frozenset({'Yield_Category_Very High', 'Rainfall_Category_Very High'})",0.08355,0.418429,0.05828,0.6975463794135248,1.6670603122955745,1.0,0.02332025705,1.9228435714285717,0.4366213966540716,0.1313503073029238,0.4799368940568302,0.41841463425291
51,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Warm'})",0.388485,0.165283,0.107037,0.2755241515116413,1.666984211997854,1.0,0.0428270337449999,1.152166772352264,0.6543000491288167,0.2396005649932509,0.1320700926321631,0.4615612565548138
52,"frozenset({'Irrigation_Used', 'Fertilizer_Used'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Sunny', 'Rainfall_Category_Very High'})",0.250093,0.139897,0.05828,0.2330333116080817,1.665749169804083,1.0,0.023292739579,1.1214346242381903,0.5329587791558311,0.175695637755871,0.1082850677280299,0.3248127593659471
53,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Weather_Condition_Cloudy'})","frozenset({'Yield_Category_Very High', 'Rainfall_Category_Very High'})",0.083028,0.418429,0.057859,0.6968612998024762,1.6654230462096944,1.0,0.0231176769879999,1.9184980328181491,0.4357297303758424,0.1304311561368626,0.4787589130174582,0.4175690222415874
54,"frozenset({'Irrigation_Used', 'Fertilizer_Used'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Cloudy', 'Rainfall_Category_Very High'})",0.250093,0.13896,0.057859,0.2313499378231298,1.664867140350675,1.0,0.02310607672,1.120197658686809,0.5325346613626546,0.1746982131318804,0.1073004016342211,0.3238607777774256
55,"frozenset({'Fertilizer_Used', 'Irrigation_Used'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Hot'})",0.250093,0.182928,0.075711,0.3027313839251798,1.6549209739634163,1.0,0.0299619876959999,1.1718181216868715,0.527720823362998,0.2118916347149534,0.1466252471326637,0.3583077675333063
56,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Temperature_Category_Warm'})","frozenset({'Yield_Category_Very High', 'Rainfall_Category_Very High'})",0.099832,0.418429,0.069097,0.692132783075567,1.6541224032645132,1.0,0.027324396072,1.889031920351392,0.4393066827148352,0.1538346795379861,0.4706283206617369,0.4286335654191349
57,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Rainy'})",0.388485,0.141576,0.090762,0.2336306421097339,1.6502136104264418,1.0,0.0357618476399999,1.120117853306597,0.6443306295235101,0.2066064343419857,0.1072367991921637,0.4373569382781251
58,"frozenset({'Irrigation_Used', 'Region_North', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.097162,0.424435,0.068051,0.7003869825652004,1.6501631170030755,1.0,0.02681204653,1.9210280144962384,0.4364008852473406,0.1500421125971786,0.4794453842141207,0.4303600656697266
59,"frozenset({'Irrigation_Used', 'Weather_Condition_Sunny', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.12945,0.424435,0.090645,0.7002317497103129,1.6497973770078171,1.0,0.03570188925,1.9200332238113649,0.4524323237691381,0.1956761074173215,0.4791756790463508,0.4568990100819874
60,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Region_West'})",0.388485,0.105985,0.067914,0.1748175605235723,1.6494556826303,1.0,0.026740417275,1.0834149604143857,0.6438752852239631,0.1592147338215849,0.0769926237519195,0.4078031756951022
61,"frozenset({'Irrigation_Used', 'Weather_Condition_Rainy', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.129792,0.424435,0.090762,0.6992880917159764,1.647574049538743,1.0,0.03567373248,1.9140080061491165,0.45167018383866,0.1958335580896076,0.4775361457280696,0.4565650113768544
62,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})","frozenset({'Region_East', 'Yield_Category_Very High'})",0.388485,0.105895,0.067769,0.1744443157393464,1.6473328838882515,1.0,0.0266303809249999,1.083034151476696,0.6425977299832121,0.1588543192744678,0.0766680823162228,0.4072042155683369
63,"frozenset({'Region_South', 'Irrigation_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.096887,0.424435,0.06772,0.6989585806145303,1.6467976972081244,1.0,0.026597766155,1.911912989165838,0.4348967079091919,0.1492938743656333,0.4769636454866615,0.4292559345519669
64,"frozenset({'Irrigation_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.388485,0.424435,0.271454,0.6987502734983332,1.6463069103592616,1.0,0.1065673690249999,1.910590946202288,0.641979091585509,0.5013315702186285,0.4766017278645039,0.6691579067846254
